,0,1,2,3,4,5,countries,topics,tweet_clean
1578,1.56e+18,2022-08-17 09:55:53+00:00,"Climate change and green transition are now an energy security and political priority in the #EU, especially emerging Europe, where countries are overly reliant on Russia for supplies.
See what leading figures had to say at our #FutureofEE Planet session—https://t.co/QDe6Z5w1d2",India,0,0,India,Middle East,Climate change green transition energy security political priority especially emerging Europe countries overly reliant Russia supplies.See leading figures Planet session
1579,1.56e+18,2022-08-17 09:55:46+00:00,"Our top story @trtworld --- Recep Tayyip Erdogan accepts an invitation. The Turkish president will meet Volodymr Zelenskky and the UN Secretary General, in #Ukraine.  

Join me at 10:00 GMT live from #Istanbul.",India,2,6,India,Middle East,story Recep Tayyip Erdogan accepts invitation Turkish president meet Volodymr Zelenskky Secretary General Join live
1581,1.56e+18,2022-08-17 09:55:22+00:00,"Zelensky, Erdogan, Guterres to meet Thursday in Ukraine: https://t.co/JPpR8zDDkH   #Ukraine",India,0,0,India,Middle East,Zelensky Erdogan Guterres meet Thursday Ukraine
1582,1.56e+18,2022-08-17 09:55:07+00:00,Yesterday 2:58 I was awakened during the night by a rocket that destroyed 4 houses in Kramatorsk.  3 people who lived there survived #Kramatorsk #Donbas #Donbass #Ukraine #Russia #UkraineRussiaWar #RussianUkrainianWar #RussiaInvadedUkraine #war #warzone https://t.co/DVlfTcu09p,India,0,1,India,Middle East,Yesterday awakened night rocket destroyed houses Kramatorsk people lived survived
1583,1.56e+18,2022-08-17 10:01:03+00:00,"#odessa #odesa #ukraine #одесса
Now: 31.5°C
Today's Min: 22.4°C at 04:48:34
Today's Max: 31.5°C at 12:55:40
Month's Min: 19.3°C at 2022-08-03 05:39:45
Month's Max: 33.8°C at 2022-08-07 14:46:05",Украина,0,0,Ukraine,Europe,CToday :48:34Today :55:40Month -08-03 :39:45Month -08-07 :46:05
1584,1.56e+18,2022-08-17 09:55:01+00:00,#WorthReading Six Weeks of ‘Hell’: Inside Russia’s Brutal Ukraine Detentions https://t.co/Zru9lCDpKA,India,1,0,India,Middle East,Weeks Hell Inside Russias Brutal Ukraine Detentions
1585,1.56e+18,2022-08-17 09:55:00+00:00,"In #Ukraine, 1,073 children were affected by Russian war - 361 were killed, 712 were reported as injured, - Prosecutor General's office

#StandWithUkraine #UkraineRussiaWar #RussiaIsATerrorristState https://t.co/2cqwxdP5Js",India,3,8,India,Middle East,children affected Russian killed reported injured Prosecutor General office
1586,1.56e+18,2022-08-17 09:54:42+00:00,"Yes Ukraine couldn't ship grains,nobody is disputing that.

But why are dismissing the fact that Russia also couldn't export agricultural products from Russian ports....
The UN prevailed on both nations to reach a peace deal to avert a global food crises...... https://t.co/jWrDfNjdj5 https://t.co/EiEohlojHG",India,0,0,India,Middle East,Ukraine could ship grains nobody disputing that.But dismissing fact Russia also could export agricultural products Russian ports .... prevailed nations reach peace deal avert global food crises ......
1588,1.56e+18,2022-08-17 09:54:25+00:00,"Become their patron, help with cryptocurrency or buy NFT.Growing strong!Please consider donating, even 1$ in crypto will help!
#NFT #WARINUKRAINE #HelpUkraine #Ukraine #StandWithUkraine #UkraineUnderAttaсk #RussiaInvadedUkraine #StopRussianAggression #ArtForUkraine #StopWar #NFTs https://t.co/T1lcpXajdU",India,1,0,India,Middle East,Become patron help cryptocurrency NFT.Growing strong Please consider donating even crypto help
1608,1.56e+18,2022-08-17 09:51:05+00:00,"A year after the United States’ tumultuous and deadly withdrawal from Afghanistan, assessments of its impact are divided — and largely along partisan lines. https://t.co/Y19FDQ1yNo",Ireland,2,7,United Kingdom,Europe,year United States tumultuous deadly withdrawal Afghanistan assessments impact divided largely along partisan lines
1610,1.56e+18,2022-08-17 09:50:56+00:00,"We’ve updated our blog on the UK Government’s response to the war in #Ukraine 🇺🇦

Tussell shows that Local Gov’t spending on Ukraine has DOUBLED since our July update!

🔎Take a look at the full blog here:
https://t.co/7QMR6FZD6x https://t.co/3mAJ9qf9Wn",Ireland,0,2,United Kingdom,Europe,Weve updated blog Governments response Tussell shows Local Govt spending Ukraine DOUBLED since July update Take look full blog
1611,1.56e+18,2022-08-17 09:50:16+00:00,"Russia aims to steal Zaporizhzhia’s power by severing its connection to Ukraine’s remaining territory, according to Ukrainian leaders, international nuclear-power experts and the plant’s staff. https://t.co/g5NqwitETY",Ireland,1,2,United Kingdom,Europe,Russia aims steal Zaporizhzhias power severing connection Ukraines remaining territory according Ukrainian leaders international nuclear-power experts plants staff
1612,1.56e+18,2022-08-17 09:50:10+00:00,"The @enkiduglobal platform provides a radically new flow of donations - more targeted to where they are needed
To learn about  the Enkidu story with 
@SAP and Medical Procurement of Ukraine watch this video:
#Ukraine #donations #StandWithUkraine https://t.co/vnHgTgsk2F",Ireland,1,2,United Kingdom,Europe,platform provides radically flow donations targeted neededTo learn Enkidu story Medical Procurement Ukraine watch video
1613,1.56e+18,2022-08-17 09:50:09+00:00,"President Zelensky can #Veto5371 -- a bill that strips protections from millions of workers. Ask him now: https://t.co/5bT8vomqQZ #Ukraine

https://t.co/3WxY8Esqxe",Ireland,0,0,United Kingdom,Europe,President Zelensky bill strips protections millions workers
1614,1.56e+18,2022-08-17 09:49:38+00:00,"A lesson that still needs to be learned in #Berlin 

“Russian ears only open up when there is a giant military bat hitting the Russian head,” @Podolyak_M 

glad to see this in the Guardian after their many missteps on #Ukraine

https://t.co/rsBHqDq6Xy",Ireland,21,103,United Kingdom,Europe,lesson still needs learned Russian ears open giant military hitting Russian head glad Guardian many missteps
1615,1.56e+18,2022-08-17 09:49:35+00:00,Outside the embassies in Moscow. Ridiculous! Russia has illegally invaded Ukraine and is committing genocide there. https://t.co/5QPSzMY565,Ireland,1,0,United Kingdom,Europe,Outside embassies Moscow Ridiculous Russia illegally invaded Ukraine committing genocide
1616,1.56e+18,2022-08-17 09:49:18+00:00,"Ukraine is likely preparing a counteroffensive in the south but will only strike when it’s confident of making progress, and Russia’s logistics and supply lines have been further hit, sources say https://t.co/qR0cYX70mb via @bpolitics",Ireland,0,0,United Kingdom,Europe,Ukraine likely preparing counteroffensive south strike confident making progress Russias logistics supply lines sources
1617,1.56e+18,2022-08-17 09:49:11+00:00,Join us tomorrow for a fascinating open discussion that will culminate a series of art residencies that took place in the west of #Ukraine throughout summer. https://t.co/NMMaeLlj9A,Ireland,0,2,United Kingdom,Europe,Join tomorrow fascinating open discussion culminate series residencies took place west throughout summer
1619,1.56e+18,2022-08-17 09:48:49+00:00,Russia Pounds Kharkiv Region With Fresh Air And Artillery Strikes https://t.co/4zjCNaz2wL,Ireland,0,0,United Kingdom,Europe,Russia Pounds Kharkiv Region With Fresh Artillery Strikes
1622,1.56e+18,2022-08-17 09:48:48+00:00,"🇺🇦 Shakhtar returned to Ukraine! 💙💛

The team will continue preparation for the new season in Kyiv.

Shakhtar will play vs Metalist 1925 in the first match of Ukrainian Premier League on August 23 at 12:00 CET.

Detailed information: https://t.co/mf9OZO6bvx.

#Shakhtar #Ukraine https://t.co/iGbEfFprcR",Ireland,3,19,United Kingdom,Europe,Shakhtar returned Ukraine team continue preparation season Kyiv.Shakhtar play Metalist first match Ukrainian Premier League August CET.Detailed information
1623,1.56e+18,2022-08-17 09:48:45+00:00,17/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/ikdLcXrwQd,Ireland,0,1,United Kingdom,Europe,/08/2022 Verified
1624,1.56e+18,2022-08-17 09:48:44+00:00,Russia-Ukraine war: Russian shelling kills two civilians in Donetsk; Odesa region hit by Russian missile attack – live https://t.co/PoVPKDQ0Ex maybe give the whole story of the war would be good ! Ukraine should using civilians areas as cover !!!!,Ireland,1,1,United Kingdom,Europe,Russia-Ukraine Russian shelling kills civilians Donetsk Odesa region Russian missile attack live maybe give whole story would good Ukraine using civilians areas cover
1625,1.56e+18,2022-08-17 09:48:23+00:00,Crimea ‘sabotage’ highlights Russia’s woes in Ukraine war | Russia-Ukraine war News https://t.co/g5oqTBq5mH,Ireland,0,0,United Kingdom,Europe,Crimea sabotage highlights Russias woes Ukraine Russia-Ukraine warNews
1628,1.56e+18,2022-08-17 09:47:46+00:00,"Putin's separatists backed by Kim Jong-un as tyrant says Ukraine 'no right' to dispute

https://t.co/x1KNEmHqpj https://t.co/JplYhwcrW6",Ireland,1,2,United Kingdom,Europe,Putin separatists backed Jong-un tyrant says Ukraine right dispute
1637,1.56e+18,2022-08-17 09:53:44+00:00,"#UkraineRussiaWar #russia #Ukraine 
How the Support of Other Countries Helps Russian Aggression | via @hwag_ucmc : 
https://t.co/12fNn9ucNZ",Україна,4,10,Ukraine,Europe,Support Other Countries Helps Russian Aggression
1641,1.56e+18,2022-08-17 09:53:35+00:00,"russia is destroying the Ukrainian nation.  Help!!!

Ukraine needs more weapons: 155-mm howitzer M777, HIMARS, ATACMS 

#ArmUkraineNow #RussiaIsATerroristState     
@WHCOS @JakeSullivan46 @PaigeHill46 @MegHays46 @KMunoz46 @JOD46 @WHCommsDir @WhiteHouse @DeptofDefense @UKRintheUSA https://t.co/t4G2Q5n50Y",Україна,0,2,Ukraine,Europe,russia destroying Ukrainian nation Help Ukraine needs weapons howitzer M777 HIMARS ATACMS
1646,1.56e+18,2022-08-17 13:02:50+00:00,Ukraine nuclear power company says Russia attacked website https://t.co/mczOtT1Uz5 via @AJEnglish,Istanbul,0,0,United Kingdom,Europe,Ukraine nuclear power company says Russia attacked website
1648,1.56e+18,2022-08-17 13:02:43+00:00,Ukraine war: Thousands of Jews quit Russia amid fears of persecution https://t.co/OZrUUOlWDK,Istanbul,0,0,United Kingdom,Europe,Ukraine Thousands Jews quit Russia amid fears persecution
1649,1.56e+18,2022-08-17 13:02:29+00:00,"Map of the war in #Ukraine as of August 17: where the fighting is going on 
https://t.co/Tvk1Wi6xfR",Istanbul,0,0,United Kingdom,Europe,August fighting going
1650,1.56e+18,2022-08-17 13:02:26+00:00,"Zelenskyy warns Ukrainian citizens in occupied territories to stay away ... https://t.co/11SbzlmCSV via @YouTube #UkraineWillWin,#UkraineWar,#UkraineRussiaWar,#UkrainianArmy,#Mariupol,#StandWithUkraine,#UkrainianPOW,#Ukraine,#UkraineWarNews,#ArmUkraineNow,#Україна,#Crimea🌻🇺🇦",Istanbul,0,0,United Kingdom,Europe,Zelenskyy warns Ukrainian citizens occupied territories stay away
1653,1.56e+18,2022-08-17 13:02:17+00:00,"Proof, if it were needed, that we live in a multi-polar world. To accuse non-western countries of being afraid is totally unhelpful.
https://t.co/Uo4zxXwC9x",Istanbul,0,0,United Kingdom,Europe,Proof needed live multi-polar world accuse non-western countries afraid totally unhelpful
1654,1.56e+18,2022-08-17 09:46:04+00:00,"Saudi billionaire Prince Alwaleed Bin Talal invested in Russian firms like Gazprom, Rosneft and Lukoil in the days around Moscow’s invasion of Ukraine
https://t.co/Kcn9iNPX7o",Istanbul,31,49,United Kingdom,Europe,Saudi billionaire Prince Alwaleed Talal invested Russian firms like Gazprom Rosneft Lukoil days around Moscows invasion Ukraine
1655,1.56e+18,2022-08-17 09:46:02+00:00,Live updates: Russia's war in Ukraine - CNN: Ukraine's state nuclear power company Energoatom accused hackers based in Russia of launching a “powerful” attack on the company's website for three ... https://t.co/r5NVMuduut https://t.co/wuFDihqyNW,Istanbul,0,1,United Kingdom,Europe,Live updates Russia Ukraine Ukraine state nuclear power company Energoatom accused hackers based Russia launching powerful attack company website three
1691,1.56e+18,2022-08-17 09:46:47+00:00,"The rouble plunged around 30% on Monday. The euro slid almost 1% versus the dollar. The safe-haven Swiss franc and Japanese Yen were in demand after Western nations imposed tough new sanctions on Russia for its invasion of Ukraine.

#dollar #euro #ruble #russiaukraine #war #world https://t.co/2h4QxXZSIT","Early, TX",0,0,United States,USA,rouble plunged around Monday euro slid almost versus dollar safe-haven Swiss franc Japanese demand Western nations imposed tough sanctions Russia invasion Ukraine
1701,1.56e+18,2022-08-17 09:45:39+00:00,"Oil prices jumped on Monday on escalating sanctions against Russia over its invasion of Ukraine, which in turn led President Vladimir Putin to put his country's nuclear deterrent on high alert.

#usa #russia #ukraine #russiaukraine #war #oil #oilprices #worldeconomy #forexsail https://t.co/8co5ounbMF","Early, TX",0,0,United States,USA,prices jumped Monday escalating sanctions Russia invasion Ukraine turn President Vladimir Putin country nuclear deterrent high alert
1713,1.56e+18,2022-08-17 09:43:48+00:00,"The United States and its allies on Saturday moved to block certain Russian banks' access to the SWIFT international payment system in further punishment of Moscow as it continues its military assault against Ukraine.

#usa #europe #russia #ukraine #russiaukraine #bank #swift https://t.co/uREg7X5hD9","Early, TX",0,0,United States,USA,United States allies Saturday moved block certain Russian banks access SWIFT international payment system punishment Moscow continues military assault Ukraine
1731,1.56e+18,2022-08-17 09:41:34+00:00,"The euro was struggling to recover from its plunge the previous day in early Asia trading on Friday, after Russia's invasion of Ukraine had hit the common European currency and sent investors scrambling to the safety of the dollar, yen and Swiss franc.

#trading #safety #euro https://t.co/asRUGwip1u","Early, TX",0,0,United States,USA,euro struggling recover plunge previous early Asia trading Friday Russia invasion Ukraine common European currency sent investors scrambling safety dollar Swiss franc
1740,1.56e+18,2022-08-17 09:40:27+00:00,"Russian President Vladimir Putin authorizes an invasion of Ukraine, resulting in U.S. indices moving into correction territory, the ruble falling to a six-year low and Brent crude climbing above $100 a barrel for the first time in over seven years.

#russia #ukraine #europe https://t.co/wOMHZ2eYYt","Early, TX",0,0,United States,USA,Russian President Vladimir Putin authorizes invasion Ukraine resulting U.S. indices moving correction territory ruble falling six-year Brent crude climbing barrel first time seven years
1750,1.56e+18,2022-08-17 09:39:39+00:00,"Russian President Vladimir Putin authorised a military operation in eastern Ukraine on Thursday in what appeared to be the start of the war in Europe over Russia's demands for an end to NATO's eastward expansion.

#russia #ukraine #europe #military #war #peace #worldeconomy https://t.co/wgXqLrpcln","Early, TX",0,0,United States,USA,Russian President Vladimir Putin authorised military operation eastern Ukraine Thursday appeared start Europe Russia demands NATO eastward expansion
1763,1.56e+18,2022-08-17 09:32:13+00:00,"More 🇺🇦 died fighting Hitler than 🇺🇸, 🇬🇧 &amp; 🇫🇷 combined. Including my two great uncles. One - barely 19, in Poland.
If someone desecrates their memory, it’s Putin - doing in #Ukraine under the red flag what Hitler did 81 years ago. Putin’s Russia is fascist. https://t.co/ykeCglTVvE",Kiev,123,633,Ukraine,Europe,More died fighting Hitler combined Including great uncles barely Poland.If someone desecrates memory Putin flag Hitler years Putins Russia fascist
1765,1.56e+18,2022-08-17 09:31:46+00:00,"Russia is facing the mass migration abroad of large numbers of its Jewish population, with at least one in eight leaving the country since its war with Ukraine began.
https://t.co/EhkhQ42v71",Kiev,1,1,Ukraine,Europe,Russia facing mass migration abroad large numbers Jewish population least eight leaving country since Ukraine began
1766,1.56e+18,2022-08-17 09:30:01+00:00,"Animal shelter Dogs and Cats, we need your help!
Raising funds food for animals.
PayPal: dogandcat.helper@gmail.com
https://t.co/Z3re0ILu76
https://t.co/I9dbwRJ47y
https://t.co/71pErLQWdp

#Ukraine #Patreon #dogsoftwitter #Shelter #Dogs #Cats #Cute #Pets #Funny
#Dogsarefamily https://t.co/8bjY12y73d",Kiev,0,0,Ukraine,Europe,Animal shelter Dogs Cats need help Raising funds food animals.PayPal dogandcat.helper.com
1767,1.56e+18,2022-08-17 09:30:00+00:00,"EXTRA EARNINGS – With Environmental Protection

https://t.co/lHqpJaVCfI

#dollar #hot #extra #income #dream #euro #usa #germany #europe #russia #china #president #moscow #ukraine  #boris #uk #bitcoin #btc #desire #environment #Renewable #solar #hydro #wind #pam #palm #climate https://t.co/pnbFQrFdrO",Kiev,1,2,Ukraine,Europe,EXTRA EARNINGS With Environmental Protection
1768,1.56e+18,2022-08-17 09:29:50+00:00,Crimea 'sabotage' highlights Russia's woes in Ukraine war https://t.co/RNHtkqxeDT,Kiev,0,0,Ukraine,Europe,Crimea 'sabotage highlights Russia woes Ukraine
1770,1.56e+18,2022-08-17 09:29:08+00:00,'US can fight Russia &amp; China' Analyst pinpoints military power as another war looms https://t.co/bDQtrXrIfb,Kiev,0,0,Ukraine,Europe,fight Russia China Analyst pinpoints military power another looms
1771,1.56e+18,2022-08-17 09:28:09+00:00,"💥 #BreakingNews #Spain 🇪🇦: Spanish TV media broadcast a video that is gaining popularity on foreign social networks showing Spanish police officers pushing migrants back into the sea.
Meanwhile, #EU mainstream media 🇪🇺 accuses #Russia 🇷🇺 of barbarities.
#Donbass 🇷🇺
#Ukraine https://t.co/Iy8Y7bOYFs",Kiev,0,5,Ukraine,Europe,Spanish media broadcast video gaining popularity foreign social networks showing Spanish police officers pushing migrants back sea.Meanwhile mainstream media accuses barbarities
1772,1.56e+18,2022-08-17 09:36:47+00:00,"Western powers have responded to Russia’s move into eastern Ukraine by levying sanctions, but stocks are set to open higher with investors responding positively to the measured nature of the response.

#usa #europe #economy #war #inflation #hike #business #finance #financialnews https://t.co/U28k3f50ZI","Early, TX",0,0,United States,USA,Western powers responded Russias move eastern Ukraine levying sanctions stocks open higher investors responding positively measured nature response
1776,1.56e+18,2022-08-17 09:27:53+00:00,"Ukraine-Russia grain deal: the unanswered questions: Politico Europe https://t.co/nAwM8VZvzF 

MORE w/ EcoSearch: https://t.co/4SgzFzPfdX",Kiev,0,0,Ukraine,Europe,Ukraine-Russia grain deal unanswered questions Politico Europe MORE EcoSearch
1778,1.56e+18,2022-08-17 09:27:27+00:00,How Russia's soldiers abduct and torture #Ukrainian civilians - then start using their social media accounts to push the Kremlin's propaganda &amp; force account holders to make videos denouncing #Ukraine &amp; its president. https://t.co/vAcCKJlOMx,Kiev,102,140,Ukraine,Europe,Russia soldiers abduct torture civilians start using social media accounts push Kremlin propaganda force account holders make videos denouncing president
1780,1.56e+18,2022-08-17 09:27:05+00:00,"Declarations on the victory of democracy, liberalism, and the 'free world' against a Russia embodying the absolute evil are feel-good policies. First, they do not reflect realities on the ground in our own societies. https://t.co/Gg0kGhAlDP",Kiev,0,2,Ukraine,Europe,Declarations victory democracy liberalism 'free world Russia embodying absolute evil feel-good policies First reflect realities ground societies
1781,1.56e+18,2022-08-17 09:26:58+00:00,Support the The Federation of Trade Unions of Ukraine and demand that Zelensky abandons draft law 5371 which will remove worker and union rights https://t.co/VTnKTEvgYd #WorkersRights #Ukraine,Kiev,3,3,Ukraine,Europe,Support Federation Trade Unions Ukraine demand Zelensky abandons draft remove worker union rights
1784,1.56e+18,2022-08-17 09:26:55+00:00,17/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/11JTSdTzTY,Kiev,0,0,Ukraine,Europe,/08/2022 Verified
1830,1.56e+18,2022-08-17 09:22:10+00:00,"The Zelensky Erdogan meeting is in LVIV because Erdogan refuses to go to Kyiv and upset his ally Putin.
@sfrantzman 
#Ukraine https://t.co/LjV0zEtUej",Kyiv,0,6,Ukraine,Europe,Zelensky Erdogan meeting LVIV Erdogan refuses Kyiv upset ally Putin
1837,1.56e+18,2022-08-17 09:22:08+00:00,"Putin blamed the US for dragging the war in Ukraine out, even though he could call Russian troops home at any moment #SmartNews  https://t.co/q1FzqhuH14",Kyiv,0,1,Ukraine,Europe,Putin blamed dragging Ukraine even though could call Russian troops home moment
1840,1.56e+18,2022-08-17 09:22:04+00:00,"Important line from @MassDara piece. Russia's ""ability to generate personnel will also probably reach its zenith in the coming months unless it declares a general mobilization and drafts men from across the country."" https://t.co/rMIFPsxMpb",Kyiv,21,88,Ukraine,Europe,Important line piece Russia ability generate personnel also probably reach zenith coming months unless declares general mobilization drafts across country
1844,1.56e+18,2022-08-17 09:21:02+00:00,"A Russian court fined streaming giant Twitch 2 million roubles ($33,00) for hosting a 31-second video that allegedly contains ""fake"" information about war crimes in the Ukrainian town of Bucha.

#Russia #Ukraine #Amazon
https://t.co/SY7A7SO2lV",Kyiv,0,1,Ukraine,Europe,"Russian court fined streaming giant Twitch million roubles 33,00 hosting -second video allegedly contains fake information crimes Ukrainian town Bucha"
1846,1.56e+18,2022-08-17 09:27:24+00:00,#Крим це #Україна.  #Crimea it is #Ukraine   #ue5 #madewithunreal  https://t.co/zVkO2iJhFR https://t.co/ObWz1knRls,Україна,0,0,Ukraine,Europe,
1849,1.56e+18,2022-08-17 09:20:47+00:00,Holding the line together. #Ukraine https://t.co/tahcBHacvz,Kyiv,31,301,Ukraine,Europe,Holding line together
1850,1.56e+18,2022-08-17 09:20:42+00:00,Analysis: Action wanes at U.N. to isolate Russia almost six months into Ukraine war https://t.co/7Vot1wo0b6,Kyiv,0,0,Ukraine,Europe,Analysis Action wanes U.N. isolate Russia almost months Ukraine
1851,1.56e+18,2022-08-17 09:20:00+00:00,"President of #Ukraine Volodymyr Zelensky held a meeting with the independent group of world leaders The Elders: former UN Secretary-General Ban Ki-moon and the ex-President of Colombia Juan Manuel Santos Calderón 
#UkraineRussiaWar 
https://t.co/N5tulSGZDS",Kyiv,2,7,Ukraine,Europe,President Volodymyr Zelensky held meeting independent group world leaders Elders former Secretary-General Ki-moon ex-President Colombia Juan Manuel Santos Caldern
1855,1.56e+18,2022-08-17 09:19:49+00:00,"Ukraine Foreign minister calls (former now) Pakistani PM Imran Khan's Feb visit to Russia &amp; handshake with Prez Putin as ""shameful"" https://t.co/0oTQmfcSa1",Kyiv,7,97,Ukraine,Europe,Ukraine Foreign minister calls former Pakistani Imran Khan visit Russia handshake Prez Putin shameful
1856,1.56e+18,2022-08-17 09:19:17+00:00,On Ukrainians partisan warfare and the question of distinction - via @NYTimes https://t.co/mZoA1UrDb9,Kyiv,0,2,Ukraine,Europe,Ukrainians partisan warfare question distinction
1857,1.56e+18,2022-08-17 09:18:22+00:00,"Good Tweet, @gkates -- Crimea is not ""Russian territory.""

Don't believe it? Then check out what Russia itself says - in MANY treaties in force between Ru &amp; Ukr in which Ru itself affirms explicitly that Ukraine's borders with Russia are those of the former Ukrainian SSR. https://t.co/OOPHszNeWJ",Kyiv,0,0,Ukraine,Europe,Good Tweet Crimea Russian territory believe Then check Russia says MANY treaties force affirms explicitly Ukraine borders Russia former Ukrainian
1858,1.56e+18,2022-08-17 09:17:19+00:00,#UK military equipment on service (or was ?) with #Ukraine army in a warehouse #Russia #NATO https://t.co/PnSnj3HrMM,Kyiv,0,1,Ukraine,Europe,military equipment service army warehouse
1859,1.56e+18,2022-08-17 09:17:09+00:00,"Ukraine has been signaling its intent to launch a major counteroffensive for two months, but what that will look like remains a mystery.

https://t.co/DB1bLu5kE0",Kyiv,2,8,Ukraine,Europe,Ukraine signaling intent launch major counteroffensive months look like remains mystery
1860,1.56e+18,2022-08-17 09:26:08+00:00,"Asian share markets pared sharp early losses on Monday as a glimmer of hope emerged for a diplomatic solution to the Russian-Ukraine standoff, though there remained plenty of devil in the detail.

#markets #share #usa #russia #ukraine #business #war #economy #finance https://t.co/vDFs0riDCz","Early, TX",0,0,United States,USA,Asian share markets pared sharp early losses Monday glimmer hope emerged diplomatic solution Russian-Ukraine standoff though remained plenty devil detail
1861,1.56e+18,2022-08-17 09:17:04+00:00,"The Russian Federation carries out about 700-800 attacks on Ukrainian positions every day, using around 40 to 60 thousand munitions - reports the Commander-in-Chief of the Armed Forces of #Ukraine, Valery Zaluzhny.

#WarInUkraine",Kyiv,3,6,Ukraine,Europe,Russian Federation carries -800 attacks Ukrainian positions every using around thousand munitions reports Commander-in-Chief Armed Forces Valery Zaluzhny
1862,1.56e+18,2022-08-17 09:16:46+00:00,The US/NATO backed Ukraine military are determined to cause a nuclear disaster. Watch the media try and blame Russia if/when they succeed.,Kyiv,1,2,Ukraine,Europe,US/NATO backed Ukraine military determined cause nuclear disaster Watch media blame Russia if/when succeed
1863,1.56e+18,2022-08-17 09:16:31+00:00,"#Russia carried out a heavy missile attack on Zatoka in the Odesa region of #Ukraine today. This is the aftermath of the strike.

#RussiaUkraine #UkraineWar https://t.co/EUWvLKqT5d",Kyiv,0,0,Ukraine,Europe,carried heavy missile attack Zatoka Odesa region today This aftermath strike
1864,1.56e+18,2022-08-17 09:15:47+00:00,Ukraine LIVE: 'Crimea coming back' Zelensky to pull rug from under Putin in new offensive https://t.co/htwYqT8Hlw,Kyiv,1,1,Ukraine,Europe,Ukraine LIVE 'Crimea coming back Zelensky pull Putin offensive
1866,1.56e+18,2022-08-17 09:15:38+00:00,"The first fires in this war were shot in cyberspace. However, the Cyber-Pearl Harbor did not happen and, despite many attempts -🇷🇺 operations in cyberspace did not paralyze 🇺🇦 defenders.
More in our latest #PulaskiPolicyPaper authored by @andrzejkozl:  

https://t.co/DfjvgFSjsH https://t.co/kK3H70wPTm",Kyiv,2,2,Ukraine,Europe,first fires shot cyberspace However Cyber-Pearl Harbor happen despite many attempts operations cyberspace paralyze defenders.More latest authored
1867,1.56e+18,2022-08-17 09:15:17+00:00,"always listen to the victims: arguments like ""but other countries also attacked someone"" are just manipulation. #ukraine #SlavaUkraini https://t.co/XiZEBoo4yQ",Kyiv,1,1,Ukraine,Europe,always listen victims arguments like countries also attacked someone manipulation
1868,1.56e+18,2022-08-17 09:15:07+00:00,"Another deep dive in to Putins' Russia setup. 

Dmitry Rogozin’s Clan: Visionaries and Executors Behind Aggression Towards Ukraine - By Marius Laurinavičius, Senior Analyst, EESC

PDF File: https://t.co/nw2JJhxBPR",Kyiv,1,2,Ukraine,Europe,Another deep dive Putins Russia setup Dmitry Rogozins Clan Visionaries Executors Behind Aggression Towards Ukraine Marius Laurinaviius Senior Analyst EESCPDF File
1871,1.56e+18,2022-08-17 09:14:52+00:00,Israelis Discover New #Russian #Tactic in #Ukraine #War | United with #Israel  https://t.co/q93vyc7e2H,Kyiv,0,0,Ukraine,Europe,Israelis Discover United
1876,1.56e+18,2022-08-17 09:14:16+00:00,"Guerrilla fighters have taken a more prominent role in the war in Ukraine, rattling Russian forces.

“The goal is to show the occupiers that they are not at home, that they should not settle in, that they should not sleep comfortably,” one fighter said. https://t.co/U2K6SQ5Xys",Kyiv,0,2,Ukraine,Europe,Guerrilla fighters taken prominent role Ukraine rattling Russian forces.The goal show occupiers home settle sleep comfortably fighter said
1877,1.56e+18,2022-08-17 09:23:32+00:00,"One of the days of the Revolution of Dignity in Kyiv. Civilians are fighting the police, but a man can be seen pulling the fallen policeman away from the epicenter of the battle. That says a lot.

#Ukraine https://t.co/vM9V6qDwOj",Україна,0,1,Ukraine,Europe,days Revolution Dignity Kyiv Civilians fighting police seen pulling fallen policeman away epicenter battle That says
1878,1.56e+18,2022-08-17 09:14:10+00:00,"Zaporizhzhia Reactor status update (as of 12 August): 

unit 1 – operating; 
unit 2 – operating; 
unit 3 – cold shutdown; 
unit 4 – cold shutdown; 
unit 5 – cold shutdown, 
unit 6 – cold shutdown.

#kernenergie

https://t.co/MfMr2Dz5IK https://t.co/7lAQij7Mp2",Kyiv,0,0,Ukraine,Europe,Zaporizhzhia Reactor status update August unit operating unit operating unit cold shutdown unit cold shutdown unit cold shutdown unit cold shutdown
1879,1.56e+18,2022-08-17 09:14:10+00:00,"I believe in diversity of know-how and solution ideas in the free world, against which lonely decisive dictators have no chance in the long run.#putin #russia #ukraine #selenskyj #ukraineRussianwar #russiainvadedukraine #ukrainewar #russiaterroriststat #visabanforrussians #scholz https://t.co/9tJwhvWcgY",Kyiv,1,2,Ukraine,Europe,believe diversity know-how solution ideas free world lonely decisive dictators chance long
1880,1.56e+18,2022-08-17 09:13:58+00:00,"Anybody who shells or bombs a nuclear plant is mentally impaired, but the narrative is what the official line will be #Russia were responsible. https://t.co/FBkATz51Se",Kyiv,0,0,Ukraine,Europe,Anybody shells bombs nuclear plant mentally impaired narrative official line responsible
1881,1.56e+18,2022-08-17 09:13:54+00:00,Signed! https://t.co/9Gsp2Pvyvp #WorkersRights #Ukraine,Kyiv,1,1,Ukraine,Europe,Signed
