1.56E+18,2022-08-17 13:07:09+00:00,Ukraine and Russia: What you need to know right now https://t.co/9BvXp4sLtb, California USA ,0,0
1.56E+18,2022-08-17 13:07:06+00:00,"❗ Big News : 

Chinese and Indian armed forces will take part in the exercises ""Vostok-2022"" in the Russian Federation

#UkraineWar #Ukraine #Russia #ukrainerussiawar #Putin #China #Taiwan #中国 #台灣 #俄罗斯 #乌克兰",,0,0
1.56E+18,2022-08-17 13:06:48+00:00,"Ukraine Strikes Again in Crimea, Challenging Russian Hold on Peninsula https://t.co/HBQkg1MgSE", California USA ,0,0
1.56E+18,2022-08-17 13:06:34+00:00,Analysis: Action wanes at U.N. to isolate Russia almost six months into Ukraine war https://t.co/zE79NG8wLz,,0,0
1.56E+18,2022-08-17 13:06:32+00:00,"""As Russia falters in eastern and southern Ukraine, Kyiv eyes a threat from the north."" by BY MARC SANTORA AND SHASHANK BENGALI via NYT New York Times https://t.co/kydKz58bic", California USA ,0,0
1.56E+18,2022-08-17 13:06:30+00:00,"""Trump kept documents that interested him,"" one official said, ""sometimes Iranian or North Korean nukes, sometimes Ukraine or Russia, some foreign leaders."" 

But the Justice feared that Trump might ""weaponize"" the information.

And he would@have done so! https://t.co/nO4XwAWaIv",,0,0
1.56E+18,2022-08-17 13:06:21+00:00,"After talking to my family and friends, 
I decided to return to #Ukraine. 🇺🇦
Going to Dnipro and further deep east early September. 

Let's do this once again! 👊🇺🇦💙💛", California USA ,0,0
1.56E+18,2022-08-17 13:06:19+00:00,The will to fight has a lot to do with the Ukrainian resistance. The Afghanistan gov had billions $ of our equipment and it only took days for the Taliban to take over. Russia who is presumably far stronger than the Taliban still hasn’t beaten the Ukraine., California USA ,0,0
1.56E+18,2022-08-17 13:06:03+00:00,"🗺️ World top topics in media headlines:
https://t.co/0MuNTBvi2k

1. Ukraine
2. Trump
3. China
4. Crimea
5. Biden
6. Rushdie
7. Afghanistan
8. Russia
9. Salman Rushdie
10. Cheney",,0,0
1.56E+18,2022-08-17 13:05:43+00:00,#terrorist #TrumpCult Armed man who was at Capitol on Jan. 6 is fatally shot after firing into an FBI field office in Cincinnati Nobody can stop @JoeBiden @FLOTUS ! #TrumpTreason #TraitorTrump #TrumpVirus #TrumpIsGuilty #Ukraine #Russia #nuclear https://t.co/Sw6whvZRXk,https://joebiden.com/donate,0,0
1.56E+18,2022-08-17 13:05:42+00:00,"Killnet hackers from Russia took down Estonian payment systems across the country — this comes after taking down Lockheed Martin’s security systems &amp; NASA’s security systems as

#UkraineWar #Ukraine #Russia #ukrainerussiawar #Putin #China #Taiwan #中国 #台灣 #俄罗斯 #乌克兰 https://t.co/ptxpS5eG6G",,0,0
1.56E+18,2022-08-17 13:05:35+00:00,"Analysis: Action wanes at U.N. to isolate Russia almost six months into Ukraine war 

With @REUTERSFARGE 

https://t.co/JNElMczLCV", California USA ,0,1
1.56E+18,2022-08-17 13:05:25+00:00,"WOW 😯 BREAKING NEWS. ZELENSKY KNEW THAT RUSSIA WOULD INVADE UKRAINE BUT HIDDEN THE TRUTH TO THE POPULATION TO AVOID PANIC &amp; A MASSIVE EXODUS OF PEOPLE'S &amp; MONEY OUT OF UKRAINE. THE GUY IS A RAT CORRUPT TILL THE BONES 
https://t.co/AhWljorakA"," Dubai, United Arab Emirates ",0,0
1.56E+18,2022-08-17 13:05:22+00:00,Dear president Biden don't tie one hand behind the Ukrainian force's back if the Russians strike Ukraine from Russia let the Ukrainian force's strike that point back otherwise the Russians will keep doing it knowing the Ukrainian force's can't strike them back., France ,0,0
1.56E+18,2022-08-17 09:37:41+00:00,17/08/2022 #StandWithUkraine #Ukraine #DigitalResistance ** Verified** https://t.co/Fc8gqiKvVy, Germany,0,0
1.56E+18,2022-08-17 09:37:35+00:00,"This American Tech Company CEO had 150 Employees in Ukraine When Russia Invaded. Instead of Losing Hope, He Joined Them https://t.co/TeSy7qDMkz https://t.co/aaGR3DtgvE", Germany,0,0
1.56E+18,2022-08-17 13:05:19+00:00,"Article Link: https://t.co/dBrtlSbe8h 
""Frozen"" war is impossible, but there can be a ""cooling down"" period — Reznikov

Please Follow us to help the people of Ukraine 

#ukrainewar #ukraine #war #army #military  #specialforces #russia #nato #donetsk #soldiers #ukrainenews #odessa"," Helsinki, Finland",0,0
